,Questions,Answers
152,Number of seats left in Diploma.?,Available seats in diploma ME-60
153,Is Engineering a better career choice?,"yes definitely ,If you enjoy problem solving for industry or society, you have interests in Mathematics and Science, your dream is to design Machine or System, your aim is to work in a technical enterprise than definitely you should join Engineering."
154,Entry process for M. Tech?,"Entry Process are 1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute. All seats are allotted by DTE online counseling"
155,Entry process for B.Tech?,"Entry Process are 1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute. All seats are allotted by DTE online counseling"
156,Entry process for Diploma?,"Entry Process are 1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute. All seats are allotted by DTE online counseling"
157,What is the Criteria  to go for M. Tech ?,Gate Score Card  & B.Tech Degree
158,What is the Criteria  to go for B. Tech ?,"JEE-Main & 12th Class passed with PCM Marks must be 120 for SC/ST, OBC & 135 for others required"
159,What is the Criteria  to go for Diploma ?,PPT Score Card & 10th Class Passed
160,Any Scholarship Facility Available?,"Yes, there are two scholarship, one from government and other from Prestige Education Foundation"
161,What is fee for M. Tech ?,M.Tech(CAD/CAM)- 70000/- per year*** Likely to increase as per AFRC Govt. of MP
162,What is fee for B. Tech ?,"For B.Tech- (CSE, AI&DS, Robotics) - 72000/- per year, (CE, EC, EE, ME) - 64000/- per year*** Likely to increase as per AFRC Govt. of MP"
163,What is fee for Diploma ?,For Diploma (ME) 40000/- per year*** Likely to increase as per AFRC Govt. of MP
164,Is bus facility is there ?,"Yes, Available"
165,How much is the bus fee ?,"For Indore 10000/- per yearFor Dewas, Mhow, Pithampur 12000/- per year"
166,Where is Prestige in Indore ?,Vijay Nagar in heart of the city
167,Other facilities which are available at Prestige.?,"Other Facilities are Training, Cocubes Training, Internship, Industrial Visit, IIC, E-Cell, LMS-(Moodle), Acc-Soft for Online Attendance, Sports Facility, Extracurricular activity & Basic Facilities like - Light, Water, Solar Power Plant, Rain Water Harvesting, Electricity Generator, Well Equipped Labs, WiFi-Internet 70MBPS leased line, Lift, Auditorium, Girls Common Room etc. Green Lawn, Playground"
168,Do Prestige has a Girl's hostel ?,PIEMR do not have Hostel. Many of hostels are available nearby institute and in Indore at convenient locations
169,Do Prestige has a canteen facility ?,Canteen facility is available.
170,Do Prestige has a lab facility  ?,"Yes, there are various labs."
171,How Anti - Ragging works in Prestige ?,Anti-Ragging Committee & Anti-Ragging Squad are always alert and PIEMR take extra effort for Ragging Free Campus
172,Do Prestige have any sports team?,"Yes, Prestige have."
173,Tell me some other extra curriculum activities ?,"Extra Curriculum Activities are Seminars, GD, Guest Lecture, Workshops, Annual Function and Special Activities, All these are organized irrespective of Departments, on regular basis. Award Winner- ISTE Student Chapter, NSS Camp"
174,What is dress code ?,On special occasions Formal with PIEMR Blazer is compulsory. For Regular classes there is no Uniform as such
175,Is college visit facilites are conducted in Prestige ?,"Yes, Available."
176,What documents are required at the time of admission ?,Required Documents are Online allotment slip/ Admission slipJEE/ MP PPT Score CardMark sheet of 10th & 12th class (If not submitted in counseling)Diploma**Migration CertificateDomicile CertificateCharacter CertificateTransfer CertificateIncome & Cast Certificate if applicable Gap Certificate if applicable Photographs 10Aadhar Card
177,At what time college start ?,at 9:00 AM Sharp
178,"Tell me the contact person name, if I have any problem ?",Contact Person  Prof. Rajeev Raghuvanshi  8103129701 Prof. Md Ilyas  9827122226
179,Meaning of PIEMR PGDMRBA ?,PIEMR PGDMRBA is a two year full time Post Graduate Diploma Management Research in Business Analytics
180,Tell me about part-time course ?,There is no part time courses in Prestige
181,Is Prestige certified/registered by AICTE?,Yes. The PIEMR PGDMRBA Program is recognized by the All India Council for Technical Education (AICTE).
182,Tell me some difference between PIMR PGDMRBA and MBA?,It is more experiential course and industry-oriented. Only autonomous institutes having autonomy can run this course. Autonomy helps to keep curriculum as per the  Industry requirements.
183,Number of seats available are in PGD-MRBA ?,Total 60 seats are there for PGD-MRBA
184,What is the eligibility Criteria for PGD-MRBA?,Eligibilty Creteria for PGD-MRBA  Graduate (10+2+3 or 4) with minimum 50% and 45% for SC/ST candidates from a UGC recognized UniversityAny management entrance exam should be given CAT / MAT / XAT / ATMA / CMAT
185,Please tell me the selection procedure in PGD-MRBA ?,"Selection Process for PGD-MRBA are Based on valid score of CAT / MAT / XAT / ATMA / CMAT and graduation score you  need to register on PIEMR PGDM Online Admission Portal for the course with Rs. 1500/-PI and SOP Submission is the second stage (Virtually or Physically).Merit List (on the basis of 35% of Management Entrance Test, 20% of Interview , Academic Performance X, XII , UG / PG Performance 20%), Extra Curricular Activities 5% , SOP 20%)"
186,Did summer Intership are conducted in Prestige ?,"Yes, Prestige do it for students."
187,Want to know about the placement ?,"Prestige is known for Placements. PIEMR BTech till now has Average package of 4 LPA and highest Package of 16 LPA. We have a healthy relationship with corporate who from Day 0 comes for Placement Drives. Some of our top recruiters are TCS, Wipro, Capgemini, Ericsson, Aditya Birla, Infosys, Byjus, Impetus, Bridgestone , John Deere, Bridgestone, IBM , Videocon, Cipla"
188,Want to know about the placement in PGDM ?,As this will be our second batch we ensure PGDM students to certainly get chance in at least 2 Companies with one Dream Company in hand. The Industries in various sectors 1. Telecom 2. Banking 3. Consulting 4. Healthcare 5. Automotive6. Pharma 7. IT And many others are well associated for hiring PGDM (Business Analytics Professionals)
189,What is included in syllabus/ tools/ certification of PGDM course?,"Python, Weka , Tableau, Advanced Excel, ROR, Microsoft BI , Digital Marketing tools are the top Data Analysis and Data Visualizing tools and we ensure timely certifications of all such tools from recognized Institutions Collaborations. Syllabus is designed by Board of Studies of Insutry Members as well as top Academicians as per the Industry Requirements. Includes 70% management & 30% practical & technical tools"
190,How many branch are there in PIEMR Indore ?,There are Seven Branches are available in PIEMR for B.Tech
191,Which branch do you prefer?,All branches have equal importance Choice depends on aptitude of student.
192,Why one would choose CSE/AI & DS ?,"If you want to become Computer Software Engineer, Software/Mobile Apps/System Developer, System Integrator, Data Analytics Professional, AI Expert and wish to roam around the world then you should choose CSE."
193,Tell me why should I go for EC ?,"If you want to become Engineer in the field of IoT, Robotics, Sensor and Transistor, Microwave and Radar, Digital Electronics, Embedded System, VLSI & Nano Engineering, Mobile and Wireless Technologies and Signal and Image Processing etc. you should choose EC."
194,Tell me why should I go for ME/Automotion & Robotics?,"If you want to become Engineer in the field of Industry 4.0, Aerospace, Marine Engineering, Manufacturing Industry, Power Plant, Automobiles, Mechatronics, Automation & Robotics etc. then you may go for Mechanical Engineering or Automation & Robotics."
195,Tell me why should I go for CE?,"If you want to become an engineer in the field of Construction, Environmental, Geotechnical, Material, Structural, Urban Planning, Water resource etc. then you should go for CE."
196,Why I should go for Perstige ?,"you should go for presitige Enggineering because it is better than other  college  Prestige Group is also Strong educational group, existing since 25 years, with vast experience of running various colleges in Indore, Dewas and Gwalior.AICTE Approved/ RGPV Affiliated/ NBA Accredited for CSE & ECE In 2020 CE & EE & ME applying for NBA accreditation Participated in NIRF & ARIIA Ranking of MHRD, Govt. of India. Experience qualified faculty, Staff, Strong focus on teaching, skill development & All round development of student. Many faculty and Ph.D. and qualified from IIT/IISc or reputed universities.Faculty are also involved in research and consultancy. Advance Laboratories and Center of Excellences are existing.Very good Placement record and support for Entrepreneurship."
197,Which is better college ?,"Any Good College should have 3F- Faculty, Facilities & Forums"
198,How many students can get admission in M.Tech per year?,Available seat for  M.Tech (CAD/CAM)  is18
199,How many students can get admission in B.Tech per year?,Total 540 students can get admission in B.Tech per year
200,How many students can get admission in Diploma per year?,Total 60 students can get admission in Diploma per year
201,Should I go for Engineering ?,"yes definitely ,If you enjoy problem solving for industry or society, you have interests in Mathematics and Science, your dream is to design Machine or System, your aim is to work in a technical enterprise than definitely you should join Engineering."
202,What is enromllent process for M Tech ?,"Enrollment process are 1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute. All seats are allotted by DTE online counseling"
203,What is enromllent process for B Tech ?,"Enrollment process are 1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute. All seats are allotted by DTE online counseling"
204,What is enromllent process for Diploma  ?,"Enrollment process are 1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute. All seats are allotted by DTE online counseling"
205,Tell me the procedure for M. Tech ?,"The Procedure is 1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute. All seats are allotted by DTE online counseling"
206,Tell me the procedure for B. Tech ?,"The Procedure is 1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute. All seats are allotted by DTE online counseling"
207,Tell me the procedure for Diploma ?,"The Procedure is 1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute. All seats are allotted by DTE online counseling"
208,Did Perstige provide any type of Scholarship ?,"Yes, Chhavi Jain Scholarship for Meritorious Students"
209,Tell me yearly fee for M. Tech ?,70000/- Per Year *** Likely to increase as per AFRC Govt. of MP
210,Tell me yearly fee for B. Tech ?,"For B.Tech- (CSE, AI&DS, Robotics) - 72000/- per year, (CE, EC, EE, ME) - 64000/- per year*** Likely to increase as per AFRC Govt. of MP"
211,Tell me yearly fee for Diploma ?,For Diploma (ME) 40000/- per year*** Likely to increase as per AFRC Govt. of MP
212,Do Prestige has a bus faciility ?,"Yes, Available"
213,Tell me annual bus fee ?,"For Indore 10000/- per yearFor Dewas, Mhow, Pithampur 12000/- per year"
214,What is address of Prestige College ?,"Scheme No. 74-C, Sector-D, Vijay Nagar, Indore"
215,What facility did Prestige provide ?,"Facilities provided by Prestige are Training, Cocubes Training, Internship, Industrial Visit, IIC, E-Cell, LMS-(Moodle), Acc-Soft for Online Attendance, Sports Facility, Extracurricular activity & Basic Facilities like - Light, Water, Solar Power Plant, Rain Water Harvesting, Electricity Generator, Well Equipped Labs, WiFi-Internet 70MBPS leased line, Lift, Auditorium, Girls Common Room etc. Green Lawn, Playground"
216,Do Perstige has hostel facilities in the campus itself. ?,PIEMR do not have Hostel. Many of hostels are available nearby institute and in Indore at convenient locations
217,Canteen facility is availbe in prestige ?,Canteen facility is available.
218,How many labs are there in prestige ?,"As per guideline of RGPV & AICTE, All the labs are Available for differne Branches"
219,Is there any ragging in Perstige Campus ?,"No , we have anti-ragging commite for these."
220,Is there any sport event conducted in Prestige campus ?,"Yes, prestige conducts various events."
221,What other activites did Prestige have ?,"Extra Activities are Seminars, GD, Guest Lecture, Workshops, Annual Function and Special Activities, All these are organized irrespective of Departments, on regular basis. Award Winner- ISTE Student Chapter, NSS Camp"
222,Any dress code ?,"Yes, on special occasions Formal with PIEMR Blazer is compulsory. For Regular classes there is no Uniform as such"
223,DO prestige have college visit facilities ?,"Yes, its available."
224,Please list down all the document which are required at the time of admission . ?,Required Documents are Online allotment slip/ Admission slipJEE/ MP PPT Score CardMark sheet of 10th & 12th class (If not submitted in counseling)Diploma**Migration CertificateDomicile CertificateCharacter CertificateTransfer CertificateIncome & Cast Certificate if applicable Gap Certificate if applicable Photographs 10Aadhar Card
225,What is the report time at college ?,at 9:00 AM Sharp
226,"What is contact number, if I have any emergency ?",Contact Person  Prof. Rajeev Raghuvanshi  8103129701 Prof. Md Ilyas  9827122226
227,Tell me the meaning of  PIEMR PGDMRBA ?,PIEMR PGDMRBA is a two year full time Post Graduate Diploma Management Research in Business Analytics
228,Do perstige has any part-time course ?,There is no part time courses in Prestige
229,Tell me all branch which are available in PIEMR Indore ?,"We have seven branches in PIEMR indore for B.Tech like AI & DS, Automation & Robotics, CE, CSE, EC, EE, ME"
230,Which available branch is better for me?,it totally depends on your aptitude and interest.
231,Tell me alteast 5 benfit of CSE/AI & DS ?,1) you may  become Computer Software Engineer. 2) Software/Mobile Apps/System Developer 3) System Integrator. 4)Data Analytics Professional 5)AI Expert and also if you wish to roam around the world then you should choose CSE.
232,"If I will choose EC, what wull be the benfits ?","if you choose EC then you  have lot of benifits like you may become Engineer in the field of IoT, Robotics, Sensor and Transistor, Microwave and Radar, Digital Electronics, Embedded System, VLSI & Nano Engineering, Mobile and Wireless Technologies and Signal and Image Processing etc. you should choose EC."
233,"If I will choose ME/Automotion & Robotics, what will be the benfits ?","There are so many benefits of Choosing ME/Automotion & Robotics branch like you  may become Engineer in the field of Industry 4.0, Aerospace, Marine Engineering, Manufacturing Industry, Power Plant, Automobiles, Mechatronics, Automation & Robotics etc. then you should choose Mechanical Engineering or Automation & Robotics. One must be ready to learn computer programming as well as electronics essentials."
234,"If I will choose CE, what will be the benfits ?","There are so many benefits of Choosing CE branch like you may become an engineer in the field of Construction, Environmental, Geotechnical, Material, Structural, Urban Planning, Water resource etc."
235,What benfits does Perstige is providing ?,"Benefits of prestige AICTE Approved/ RGPV Affiliated/ NBA Accredited for CSE & ECE In 2020 CE & EE & ME applying for NBA accreditation Participated in NIRF & ARIIA Ranking of MHRD, Govt. of India. Experience qualified faculty, Staff, Strong focus on teaching, skill development & All round development of student. Many faculty and Ph.D. and qualified from IIT/IISc or reputed universities.Faculty are also involved in research and consultancy. Advance Laboratories and Center of Excellences are existing.Very good Placement record and support for Entrepreneurship."
236,Tell me better college to enrolled for  ?,"Any Good College should have 3F- Faculty, Facilities & Forums"
237,Show me the list of seats available for M.Tech?,Available seat for  M.Tech (CAD/CAM)  is18
238,Show me the list of seats available for B.Tech?,"Available seats in B.Tech (Automation & Robotics 60, AI & DS 60, CE- 60, CSE-180, EC- 60, EE-60, ME-60)"
239,Show me the list of seats available for Diploma?,Available seats in diploma ME-60
240,What benefits are there if I will choose Engineering ?,"there are lots of benefits of doing engineering some of that are Job Satisfaction,Variety of Career Opportunities,Potential to Benefit Society,Challenging Work,Creative Thinking,Technological and Scientific Discovery etc.."
241,How can I apply for M Tech ?,"You can go through the DTE Counseling Website and follow the following steps 1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute."
242,How can I apply for B Tech ?,"You can go through the DTE Counseling Website and follow the following steps 1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute."
243,How can I apply for Diploma ?,"You can go through the DTE Counseling Website and follow the following steps 1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute."
244,What's qualification required for  BTech ?,"JEE-Main & 12th Class passed with PCM Marks must be 120 for SC/ST, OBC & 135 for others required"
245,What's qualification required for Diploma  ?,"for Diploma, PPT Score Card & 10th Class Passed is required"
246,Did Perstige offers any Scholarship ?,"Yes, Chhavi Jain Scholarship for Meritorious Students"
247,What is the semester wise fee for M. Tech ?,35000/- Per Sem *** Likely to increase as per AFRC Govt. of MP
248,What is the semester wise fee for B. Tech ?,"For B.Tech- (CSE, AI&DS, Robotics) - 36000/- per Sem, (CE, EC, EE, ME) - 32000/- per Sem*** Likely to increase as per AFRC Govt. of MP"
249,What is the semester wise fee for Diploma ?,For Diploma (ME) 20000/- per sem*** Likely to increase as per AFRC Govt. of MP
250,Do Prestige have bus facilites outside the Indore ?,"Yes, Available"
251,What is semester wise bus fee ?,"You have to pay yearly Fee. For Indore 10000/- per yearFor Dewas, Mhow, Pithampur 12000/- per year"
252,How much far is Prestige College from Geeta Bhavan.?,Near About 4 to 5 Km
253,Please tell me all the facilites which are provide by prestige ?,"Facilities provided by Prestige are Training, Cocubes Training, Internship, Industrial Visit, IIC, E-Cell, LMS-(Moodle), Acc-Soft for Online Attendance, Sports Facility, Extracurricular activity & Basic Facilities like - Light, Water, Solar Power Plant, Rain Water Harvesting, Electricity Generator, Well Equipped Labs, WiFi-Internet 70MBPS leased line, Lift, Auditorium, Girls Common Room etc. Green Lawn, Playground"
254,How far is the  College from Hostel. ?,"Walking Distance,"
